trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.9780309147241483}",30,0,-284.00433571423105,"{0: 14, 1: 4, 2: 4, 3: 4, 4: 4}",0
43,False,"{'a': 0.005, 'e': 0.9769763942068623}",20,0,-191.76283724572923,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
44,False,"{'a': 0.005, 'e': 0.9758974493306055}",20,0,-91.75970892869093,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.005, 'e': 0.9747941070689433}",20,12,-22.28267930305881,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.005, 'e': 0.9736663950053749}",30,20,-34.90356651821323,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.005, 'e': 0.972514341332643}",30,0,-167.68423664297956,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
48,False,"{'a': 0.005, 'e': 0.9713379748520297}",20,0,-193.00493720422642,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
49,False,"{'a': 0.005, 'e': 0.9701373249726354}",25,0,-132.18165708669187,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
50,False,"{'a': 0.005, 'e': 0.9689124217106447}",35,15,-15.786710613270238,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.005, 'e': 0.9676632956885756}",25,0,-139.54303399436313,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
52,False,"{'a': 0.005, 'e': 0.9663899781345132}",20,0,-109.97079078676714,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
53,False,"{'a': 0.005, 'e': 0.9650925008813303}",25,0,-121.35019613482358,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
54,False,"{'a': 0.005, 'e': 0.9637708963658905}",25,6,-84.74520840004566,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
55,False,"{'a': 0.005, 'e': 0.962425197628238}",30,0,-187.00074835864356,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 4}",0
56,False,"{'a': 0.005, 'e': 0.9610554383107709}",20,0,-34.79501162247823,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
57,False,"{'a': 0.005, 'e': 0.9596616526574011}",25,0,-173.3997088087387,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
58,False,"{'a': 0.005, 'e': 0.9582438755126972}",20,6,-103.5801305055512,"{0: 7, 1: 1, 2: 3, 3: 2, 4: 1}",1
59,False,"{'a': 0.005, 'e': 0.9568021423210139}",20,0,-36.43081693710221,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.005, 'e': 0.955336489125606}",25,0,-40.19892672868488,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.005, 'e': 0.9538469525677271}",20,0,-93.8137361995396,"{0: 7, 1: 7, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.005, 'e': 0.9523335698857134}",25,0,-96.69925181619845,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
63,False,"{'a': 0.005, 'e': 0.9507963789140532}",25,16,-81.17066399085952,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 2}",1
64,False,"{'a': 0.005, 'e': 0.9492354180824408}",20,0,-115.74231974207153,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.005, 'e': 0.9476507264148157}",30,0,-195.6714433503164,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
66,False,"{'a': 0.005, 'e': 0.946042343528387}",20,0,-90.37836119127088,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
67,False,"{'a': 0.005, 'e': 0.944410309632643}",25,0,-131.70344684971204,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.005, 'e': 0.9427546655283462}",25,0,-165.1192084890008,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
69,False,"{'a': 0.005, 'e': 0.941075452606513}",35,0,-191.554028593861,"{0: 21, 1: 1, 2: 9, 3: 2, 4: 2}",0
70,False,"{'a': 0.005, 'e': 0.9393727128473789}",30,0,-247.4935128225783,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
71,False,"{'a': 0.005, 'e': 0.9376464888193493}",20,0,-117.37268533629523,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.005, 'e': 0.9358968236779348}",25,0,-200.1416846311046,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
73,False,"{'a': 0.005, 'e': 0.9341237611646731}",20,0,-110.2894314726643,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
74,False,"{'a': 0.005, 'e': 0.9323273456060345}",20,0,-138.50689449766801,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
75,False,"{'a': 0.005, 'e': 0.9305076219123143}",25,8,-64.52399407174715,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 0}",1
76,False,"{'a': 0.005, 'e': 0.9286646355765102}",20,0,-170.7659922221969,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
77,False,"{'a': 0.005, 'e': 0.9267984326731847}",20,10,-21.78945449086959,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.005, 'e': 0.9249090598573131}",30,0,-139.71196496462153,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
79,False,"{'a': 0.005, 'e': 0.9229965643631173}",30,0,-226.0655758134369,"{0: 18, 1: 2, 2: 4, 3: 2, 4: 4}",0
80,False,"{'a': 0.005, 'e': 0.9210609940028851}",25,0,-76.98494055752002,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.005, 'e': 0.9191023971657747}",30,0,-122.84876943601493,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.005, 'e': 0.9171208228166051}",25,0,-172.01397041859653,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
83,False,"{'a': 0.005, 'e': 0.9151163204946318}",25,0,-137.15020594108537,"{0: 13, 1: 7, 2: 2, 3: 1, 4: 2}",0
84,False,"{'a': 0.005, 'e': 0.9130889403123083}",30,0,-116.85900544210479,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
85,False,"{'a': 0.005, 'e': 0.9110387329540337}",35,0,-349.023584908507,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 7}",0
86,False,"{'a': 0.005, 'e': 0.9089657496748851}",20,0,-32.69556990671301,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.005, 'e': 0.9068700422993367}",20,0,-125.21290761852528,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
88,False,"{'a': 0.005, 'e': 0.9047516632199635}",25,0,-75.60634181330374,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.005, 'e': 0.9026106653961321}",30,7,-81.47348472469804,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
90,False,"{'a': 0.005, 'e': 0.9004471023526769}",20,5,-56.05953182994376,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.005, 'e': 0.8982610281785611}",20,0,-30.46846261559535,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.005, 'e': 0.8960524975255253}",30,0,-150.93727359412367,"{0: 15, 1: 2, 2: 12, 3: 0, 4: 1}",0
93,False,"{'a': 0.005, 'e': 0.8938215656067205}",25,0,-161.39821368033952,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
94,False,"{'a': 0.005, 'e': 0.8915682881953289}",20,0,-68.52593814249782,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
